candidate,n_trajectories,balanced_accuracy,macro_f1,min_class_recall,class_mae,quadratic_weighted_kappa,unsafe_early_stop_rate,severe_unsafe_stop_rate,quality_failure_rate,exact_round_accuracy,within_one_round_rate,mean_absolute_round_error,mean_excess_rounds,mean_premature_rounds,mean_rounds_saved,compute_reduction_fraction,mean_qv_loss_vs_r5,mean_busco_loss_vs_r5,selected_r1_fraction,selected_r2_fraction,selected_r3_fraction,selected_r4_fraction,selected_r5_fraction
legacy_historical_leaky_binary,127,0.8436539306104524,0.8794043933362818,0.6521739130434783,0.14960629921259844,0.7648807854137447,0.0,0.0,0.07874015748031496,0.905511811023622,0.9291338582677166,0.2440944881889764,0.2440944881889764,0.0,0.7559055118110236,0.15118110236220472,-9.586533524831236e-05,0.05905511811023589,0.0,0.11811023622047244,0.16535433070866143,0.07086614173228346,0.6456692913385826
legacy_rebuilt_binary,127,0.5401535254566485,0.5391214470284238,0.08695652173913043,0.44881889763779526,0.22236545278762498,0.023622047244094488,0.007874015748031496,0.007874015748031496,0.7007874015748031,0.7559055118110236,0.7165354330708661,0.6850393700787402,0.031496062992125984,0.3464566929133858,0.06929133858267716,4.9113317680490857e-05,-0.09527559055118111,0.0,0.015748031496062992,0.11023622047244094,0.07874015748031496,0.7952755905511811
light_core_binary,127,0.4061744202589273,0.370607255800732,0.0,0.5590551181102362,0.10383893312617343,0.07086614173228346,0.031496062992125984,0.047244094488188976,0.5590551181102362,0.7007874015748031,0.9133858267716536,0.8110236220472441,0.10236220472440945,0.29133858267716534,0.05826771653543307,-5.8883948027294415e-05,0.06850393700787359,0.0,0.007874015748031496,0.11023622047244094,0.047244094488188976,0.8346456692913385
light_fasta_binary,127,0.3711765542751458,0.32910492840137867,0.0,0.5748031496062992,0.12028225545413362,0.07874015748031496,0.03937007874015748,0.03937007874015748,0.5354330708661418,0.6614173228346457,0.9606299212598425,0.84251968503937,0.11811023622047244,0.2755905511811024,0.05511811023622047,-4.481860004964192e-05,0.11496062992125952,0.0,0.007874015748031496,0.09448818897637795,0.06299212598425197,0.8346456692913385
quality_causal_binary,127,0.4334341578677157,0.43023023023023027,0.13043478260869565,0.5511811023622047,0.1307748716695185,0.023622047244094488,0.015748031496062992,0.023622047244094488,0.6141732283464567,0.6929133858267716,0.8818897637795275,0.8346456692913385,0.047244094488188976,0.2125984251968504,0.04251968503937008,-0.00011062625913256311,0.04724409448818881,0.0,0.031496062992125984,0.047244094488188976,0.023622047244094488,0.8976377952755905
